Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look up,Human,"window,TV",STATE,7.826,9.901,2.075,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,10.245,12.996,2.751,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look up,Human,TV,STATE,12.457,12.953,0.496,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look up,Human,TV,STATE,14.338,15.704,1.366,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,17.494,20.495,3.001,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look up,Human,TV,STATE,18.902,20.454,1.552,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look up,Human,TV,STATE,25.732,26.673,0.941,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look up,Human,TV,STATE,38.231,39.024,0.793,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look up,Human,TV,STATE,48.069,48.907,0.838,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look up,Human,TV,STATE,52.781,53.386,0.605,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,62.504,142.126,79.622,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,92.078,94.826,2.748,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,98.077,100.829,2.752,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,103.336,105.580,2.244,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Environment,Trucks,Environment,,STATE,108.577,112.327,3.750,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,120.354,124.356,4.002,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Environment,Trucks,Environment,,STATE,122.732,128.483,5.751,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,142.836,289.651,146.815,"Rarely look through the window.
Checked steering wheel sometimes",
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Environment,Construction,Environment,,STATE,157.232,205.976,48.744,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Environment,Trucks,Environment,,STATE,213.899,218.911,5.012,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,230.841,236.846,6.005,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Environment,Trucks,Environment,,STATE,248.228,253.655,5.427,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,263.999,267.497,3.498,,
14no,2022-10-14 15:34:27,Participant 14 without prototype,syn-gp14-no.mp4,712.130,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,272.499,276.000,3.501,,
